[
    [4, 9, 18],
    [23, 23, 5],
    [81, 37, 22],
    [56, 20, 39],
    [16, 47, 42],
    [96, 14, 48],
    [28, 21, 37],
    [92, 3, 53],
    [83, 23, 23],
    [38, 32, 42],
    [74, 8, 28],
    [87, 9, 37],
    [59, 27, 40],
    [54, 20, 2],
    [8, 40, 32],
    [38, 27, 43],
    [4, 20, 37],
    [6, 23, 55],
    [94, 38, 47],
    [65, 31, 39],
    [66, 46, 56],
    [62, 44, 10],
    [52, 10, 14],
    [23, 42, 22],
    [57, 15, 56],
    [77, 30, 36],
    [58, 26, 38],
    [57, 43, 41],
    [20, 35, 33],
    [62, 37, 25],
    [14, 9, 46],
    [42, 13, 3],
    [30, 11, 50],
    [29, 9, 60],
    [68, 27, 11],
    [50, 4, 27],
    [31, 10, 2],
    [100, 35, 40],
    [4, 43, 26],
    [3, 38, 25],
    [3, 4, 28],
    [91, 3, 11],
    [85, 36, 29],
    [20, 45, 39],
    [24, 15, 44],
    [64, 7, 53],
    [1, 35, 39],
    [95, 27, 29],
    [31, 13, 57],
    [76, 17, 11],
    [45, 5, 49],
    [53, 31, 11],
    [7, 40, 3],
    [41, 41, 26],
    [18, 11, 35],
    [42, 37, 31],
    [97, 43, 60],
    [21, 21, 13],
    [24, 16, 47],
    [50, 16, 57],
    [11, 0, 58],
    [2, 22, 47],
    [14, 1, 12],
    [82, 3, 52],
    [54, 8, 54],
    [28, 39, 49],
    [34, 15, 29],
    [6, 12, 37],
    [62, 36, 42],
    [82, 37, 6],
    [100, 36, 4],
    [97, 4, 57],
    [86, 25, 14],
    [72, 39, 31],
    [76, 38, 34],
    [33, 20, 23],
    [3, 19, 18],
    [21, 44, 58],
    [45, 35, 1],
    [51, 36, 59],
    [95, 23, 11],
    [61, 35, 1],
    [36, 5, 2],
    [66, 18, 48],
    [20, 17, 26],
    [60, 23, 44],
    [12, 31, 41],
    [47, 22, 25],
    [47, 1, 33],
    [16, 46, 26],
    [16, 27, 28],
    [8, 23, 55],
    [66, 4, 9],
    [5, 30, 12],
    [81, 40, 21],
    [92, 43, 30],
    [56, 33, 53],
    [39, 30, 49],
    [87, 21, 5],
    [40, 27, 52],
    [56, 28, 19],
    [20, 50, 30],
    [34, 33, 3],
    [58, 4, 6],
    [46, 41, 12],
    [56, 14, 59],
    [76, 16, 4],
    [7, 5, 26],
    [38, 3, 20],
    [39, 13, 13],
    [12, 37, 32],
    [14, 36, 27],
    [12, 1, 2],
    [59, 15, 3],
    [45, 46, 15],
    [58, 36, 1],
    [7, 11, 35],
    [67, 28, 10],
    [48, 4, 6],
    [61, 17, 9],
    [18, 42, 27],
    [78, 20, 49],
    [10, 38, 58],
    [7, 39, 8],
    [22, 42, 49],
    [41, 37, 6],
    [47, 12, 17],
    [11, 48, 30],
    [37, 44, 5],
    [86, 9, 18],
    [88, 46, 32],
    [34, 47, 6],
    [83, 17, 38],
    [47, 16, 41],
    [71, 4, 13],
    [13, 50, 9],
    [46, 46, 53],
    [21, 12, 32],
    [85, 36, 23],
    [61, 24, 34],
    [39, 27, 12],
    [0, 26, 25],
    [71, 12, 52],
    [9, 32, 18],
    [77, 44, 19],
    [57, 34, 38],
    [4, 27, 20],
    [41, 8, 25],
    [13, 14, 60],
    [14, 6, 56],
    [65, 45, 15],
    [2, 20, 31],
    [62, 27, 56],
    [39, 0, 45],
    [35, 8, 17],
    [15, 49, 54],
    [30, 45, 7],
    [67, 13, 11],
    [100, 15, 35],
    [89, 21, 33],
    [84, 38, 28],
    [21, 45, 36],
    [31, 11, 47],
    [73, 46, 28],
    [57, 30, 42],
    [39, 10, 30],
    [53, 42, 16],
    [24, 13, 31],
    [34, 23, 23],
    [87, 26, 54],
    [6, 31, 37],
    [49, 14, 51],
    [47, 18, 32],
    [16, 10, 26],
    [57, 43, 31],
    [28, 21, 39],
    [8, 31, 20],
    [47, 6, 37],
    [57, 47, 44],
    [45, 17, 25],
    [61, 5, 46],
    [52, 31, 8],
    [59, 11, 43],
    [31, 12, 33],
    [50, 43, 14],
    [97, 7, 20],
    [59, 18, 53],
    [82, 44, 11],
    [0, 36, 43],
    [91, 27, 34],
    [19, 25, 51],
    [31, 12, 10],
    [9, 9, 47],
    [6, 35, 31],
    [14, 49, 56],
    [36, 32, 17],
    [99, 46, 19],
    [77, 42, 8],
    [61, 1, 40],
    [85, 21, 52],
    [60, 27, 2],
    [84, 4, 11],
    [14, 1, 55],
    [79, 17, 56],
    [78, 20, 31],
    [31, 21, 43],
    [49, 50, 1],
    [25, 37, 15],
    [70, 11, 31],
    [60, 41, 37],
    [13, 39, 59],
    [97, 7, 48],
    [11, 34, 58],
    [0, 20, 4],
    [68, 35, 50],
    [44, 0, 23],
    [23, 34, 35],
    [63, 32, 5],
    [25, 47, 18],
    [63, 49, 16],
    [51, 11, 19],
    [64, 44, 47],
    [86, 39, 34],
    [28, 21, 14],
    [93, 40, 58],
    [77, 41, 43],
    [27, 39, 52],
    [61, 37, 24],
    [31, 35, 11],
    [98, 14, 28],
    [26, 19, 53],
    [89, 26, 27],
    [17, 22, 36],
    [51, 11, 48],
    [3, 45, 33],
    [33, 27, 14],
    [90, 28, 41],
    [67, 8, 60],
    [96, 29, 50],
    [4, 26, 23],
    [30, 26, 58],
    [6, -2, 55],
    [19, -21, 26],
    [12, -1, 48],
    [19, -35, 4],
    [15, 0, 21],
    [14, -27, 26],
    [66, -48, 39],
    [7, -17, 51],
    [4, -27, 42],
    [71, -42, 32],
    [68, -36, 52],
    [29, -30, 42],
    [97, -8, 58],
    [41, -30, 27],
    [8, -42, 26],
    [11, -27, 36],
    [14, -29, 1],
    [39, -50, -59],
    [20, -30, -36],
    [50, -24, -53],
    [43, -34, -3],
    [45, -20, -19],
    [36, -11, -32],
    [11, -26, -23],
    [70, -20, -32],
    [60, -26, -48],
    [-86, -39, -34],
    [-14, -4, -55],
    [-35, -32, -37],
    [-46, -39, -8],
    [-94, -47, -42],
    [-92, -48, -8],
    [-62, -37, -43],
    [-7, -41, -45],
    [-62, -38, -39],
    [-40, -37, -39],
    [-17, -33, -25],
    [-69, -14, -44],
    [-70, -50, -59],
    [-99, -30, -46],
    [-63, -31, -10],
    [-96, -10, -54],
    [-40, -3, -53],
    [-78, -27, -26],
    [-51, -14, -41],
    [-24, -24, -38],
    [-98, -37, -4],
    [-21, -16, -15],
    [-12, -12, -18],
    [-58, -43, -40],
    [-56, 0, -52],
    [-77, -35, -9],
    [-37, -12, -51],
    [-91, -14, -29],
    [-59, -43, -56],
    [-88, -33, -13],
    [-5, -14, -3],
    [-33, -35, -38],
    [-55, -47, -59],
    [-20, -15, -16],
    [-87, -34, -54],
    [-67, -25, -58],
    [-16, -10, -3],
    [-30, -38, -29],
    [-93, -13, -48],
    [-56, -4, 0],
    [-95, -25, -60],
    [-74, -25, -48],
    [-58, -33, -49],
    [-13, -30, -36],
    [-54, -4, -37],
    [-29, -24, -35],
    [-92, -15, -28],
    [-57, -44, -17],
    [-24, -36, -43],
    [-63, -49, -57],
    [-46, -19, -13],
    [-12, -33, -33],
    [-22, -7, -8],
    [-71, -25, -54],
    [-91, -35, -39],
    [-85, -22, -17],
    [-60, -14, -19],
    [-1, -34, -11],
    [-13, -33, -14],
    [-31, -18, -9],
    [-1, -31, -39],
    [-36, -45, -16],
    [-27, -39, 0],
    [-22, -47, -31],
    [-7, -18, -3],
    [-79, -19, -11],
    [-39, -37, -10],
    [-18, -32, -1],
    [-49, -1, -50],
    [-5, -26, -40],
    [-19, -27, -37],
    [-43, -10, -40],
    [-94, -42, -21],
    [-29, -6, -20],
    [-57, -31, -16],
    [-32, -20, -57],
    [-49, -33, -50],
    [-12, -11, -6],
    [-47, -31, -9],
    [-19, -33, -30],
    [-68, -41, -43],
    [-85, -4, -13],
    [-45, -42, 0],
    [-51, -26, -48],
    [-30, -13, -55],
    [-84, -41, -9],
    [-50, -30, -1],
    [-75, -44, -49],
    [-37, -1, -49],
    [-14, -19, -42],
    [-24, -26, -36],
    [-39, -43, -32],
    [-40, -49, -16],
    [-15, -15, -9],
    [-77, -25, 0],
    [-7, -39, -27],
    [-34, -5, -34],
    [-35, -24, -30],
    [-13, -45, -8],
    [0, -20, -41],
    [-77, -49, -51],
    [-67, 0, -18],
    [-23, -22, -27],
    [-21, -32, -50],
    [-48, -27, -46],
    [-73, -30, -57],
    [-23, -35, -47],
    [-9, -39, -30],
    [-10, -22, -30],
    [-41, -13, -59],
    [-77, -17, -34],
    [-58, -6, -9],
    [-96, -33, -29],
    [-53, -39, -46],
    [-95, -41, -3],
    [-83, -22, -17],
    [-10, -27, -1],
    [-24, -26, -20],
    [-12, -32, -44],
    [-31, -25, -52],
    [-52, -20, -23],
    [-44, -25, -59],
    [-37, -6, -31],
    [-40, -42, -18],
    [-33, -46, -13],
    [-39, -5, -2],
    [-81, -39, -5],
    [-18, -7, -15],
    [-78, -40, -1],
    [-68, -6, -7],
    [-52, -7, -13],
    [-94, -46, -5],
    [-20, -36, -5],
    [-44, -31, -51],
    [-28, -3, -26],
    [-99, -14, -21],
    [-82, -30, -11],
    [-76, -25, -14],
    [-59, -25, -44],
    [-10, -14, -55],
    [-12, -13, -52],
    [-47, -7, -41],
    [-92, -38, -42],
    [-55, -34, -18],
    [-42, -46, -4],
    [-29, -13, -4],
    [-99, -48, -32],
    [-60, -42, -22],
    [-32, -33, -40],
    [-83, -37, -26],
    [-22, -13, -48],
    [-35, -9, -54],
    [-9, -18, -7],
    [-87, -15, -43],
    [-24, -33, -54],
    [-80, -2, -15],
    [-49, -36, -42],
    [-98, -1, -47],
    [-73, -25, -41],
    [-82, -10, -29],
    [-71, -24, -5],
    [-4, -22, -32],
    [-20, -31, -1],
    [-36, -6, -49],
    [-22, -45, -34],
    [-32, -20, -24],
    [-60, -22, -28],
    [-92, -41, -48],
    [-55, -18, -21],
    [-19, -10, -42],
    [-17, -2, -21],
    [-68, -11, -40],
    [-81, -47, -1],
    [-16, -5, -31],
    [-91, -34, -24],
    [-45, -25, -58],
    [-32, -4, -16],
    [-26, -11, -17],
    [-36, -7, -33],
    [-69, -38, -9],
    [-6, -2, -56],
    [-15, -32, -1],
    [0, -3, -56],
    [-7, -2, -47],
    [-24, -11, -57],
    [-10, -48, -15],
    [-73, -2, -1],
    [-68, -32, -45],
    [-79, -39, -39],
    [-33, -35, -41],
    [0, -45, -10],
    [-72, -47, -10],
    [-65, -35, -9],
    [-94, -45, -52],
    [-90, -3, -12],
    [-4, -11, -41],
    [-60, -22, -12],
    [-79, -20, -58],
    [-67, -19, -56],
    [-17, -43, -37],
    [-25, -14, -47],
    [-76, -40, -31],
    [-47, -13, -7],
    [-36, -38, -26],
    [-14, -39, -37],
    [-63, -50, -37],
    [-42, -22, -24],
    [-99, -25, -60],
    [-12, -4, -58],
    [-77, -40, -4],
    [-5, -15, -55],
    [-82, -43, -3],
    [-96, -37, -47],
    [-62, -2, -3],
    [-28, -20, -18],
    [-27, -37, -50],
    [-11, -34, -41],
    [-33, -14, -17],
    [-55, -5, -6],
    [-89, -8, -30],
    [-44, -34, -59],
    [-37, -16, -17],
    [-66, -24, -44],
    [-28, -7, -58],
    [-62, -42, -20],
    [-94, -7, -24],
    [-28, -28, -25],
    [-97, -9, -35],
    [-10, -30, -42],
    [-29, -23, -34],
    [-48, -35, -14],
    [-95, -41, -49],
    [-27, -44, -46],
    [-96, -14, -31],
    [-21, -45, 0],
    [-15, -34, -18],
    [-43, -6, -39],
    [-7, -40, -38],
    [-91, -32, -31],
    [-91, -46, -34],
    [-87, -4, -44],
    [-69, -10, -38],
    [-85, -12, -10],
    [-42, -23, -33],
    [-26, -19, -50],
    [-47, -10, -58],
    [-3, -2, -14],
    [-66, -33, -15],
    [-22, -6, -33],
    [-85, -20, -33],
    [-23, -35, -27],
    [-36, -43, -59],
    [-72, -43, -11],
    [-29, -30, -17],
    [-16, -17, -58],
    [-30, -3, -20]
]
